time,start_or_stop
2025-07-24 00:02:21.817035,START
2025-07-24 00:05:14.234376,STOP
2025-07-24 00:05:18.270491,START
2025-07-24 00:08:11.554354,STOP
2025-07-24 00:08:15.586373,START
2025-07-24 00:10:14.731196,STOP
2025-07-24 00:10:24.747358,START
2025-07-24 00:11:25.182073,STOP
2025-07-24 00:11:29.195186,START
2025-07-24 00:12:27.903574,STOP
2025-07-24 00:12:31.933363,START
2025-07-24 00:13:30.307682,STOP
2025-07-24 00:13:34.330486,START
2025-07-24 00:14:27.720387,STOP
2025-07-24 00:14:31.738620,START
2025-07-24 00:15:25.757132,STOP
2025-07-24 00:15:29.772206,START
2025-07-24 00:16:23.626318,STOP
2025-07-24 00:16:26.582530,START
2025-07-24 00:17:20.456640,STOP
2025-07-24 00:17:21.597422,START
2025-07-24 00:18:15.943684,STOP
2025-07-24 00:18:19.974299,START
2025-07-24 00:19:13.594922,STOP
2025-07-24 00:19:23.617094,START
2025-07-24 00:20:16.265092,STOP
2025-07-24 00:20:26.276110,START
2025-07-24 00:21:18.828816,STOP
2025-07-24 00:21:22.858952,START
2025-07-24 00:22:16.709566,STOP
2025-07-24 00:22:26.720594,START
2025-07-24 00:23:19.136977,STOP
2025-07-24 00:23:23.156500,START
2025-07-24 00:24:16.843995,STOP
2025-07-24 00:24:20.868406,START
2025-07-24 00:25:15.659062,STOP
2025-07-24 00:25:19.684187,START
2025-07-24 00:26:13.837616,STOP
2025-07-24 00:26:17.860932,START
2025-07-24 00:27:11.423406,STOP
2025-07-24 00:27:15.439619,START
2025-07-24 00:28:08.897592,STOP
2025-07-24 00:28:12.911437,START
2025-07-24 00:29:06.575143,STOP
2025-07-24 00:29:10.599904,START
2025-07-24 00:30:04.444539,STOP
2025-07-24 00:30:08.470900,START
2025-07-24 00:31:02.267664,STOP
2025-07-24 00:31:06.287326,START
2025-07-24 00:32:00.266133,STOP
2025-07-24 00:32:03.635660,START
2025-07-24 00:32:57.775242,STOP
2025-07-24 00:33:07.785850,START
2025-07-24 00:34:00.203589,STOP
2025-07-24 00:34:04.224509,START
2025-07-24 00:34:58.171545,STOP
2025-07-24 00:35:08.184720,START
2025-07-24 00:36:00.475719,STOP
2025-07-24 00:36:04.505513,START
2025-07-24 00:36:58.007708,STOP
2025-07-24 00:37:08.032470,START
2025-07-24 00:38:00.397627,STOP
2025-07-24 00:38:04.422761,START
2025-07-24 00:38:58.289416,STOP
2025-07-24 00:39:08.303095,START
2025-07-24 00:40:00.786673,STOP
2025-07-24 00:40:04.810826,START
2025-07-24 00:40:58.549159,STOP
2025-07-24 00:41:08.568391,START
2025-07-24 00:42:00.982973,STOP
2025-07-24 00:42:05.008921,START
2025-07-24 00:42:58.752834,STOP
2025-07-24 00:43:08.764035,START
2025-07-24 00:44:01.075357,STOP
2025-07-24 00:44:05.099337,START
2025-07-24 00:44:58.802294,STOP
2025-07-24 00:45:02.823486,START
2025-07-24 00:45:56.526342,STOP
2025-07-24 00:46:06.545117,START
2025-07-24 00:46:58.791005,STOP
2025-07-24 00:47:02.817000,START
2025-07-24 00:47:56.481818,STOP
2025-07-24 00:48:00.507815,START
2025-07-24 00:48:54.265277,STOP
2025-07-24 00:48:58.294570,START
2025-07-24 00:49:52.051168,STOP
2025-07-24 00:49:56.071904,START
2025-07-24 00:50:49.632442,STOP
2025-07-24 00:50:59.643730,START
2025-07-24 00:51:51.980014,STOP
2025-07-24 00:51:55.999779,START
2025-07-24 00:52:49.465792,STOP
2025-07-24 00:52:53.486008,START
2025-07-24 00:53:46.939855,STOP
2025-07-24 00:53:50.968085,START
2025-07-24 00:54:44.752842,STOP
2025-07-24 00:54:54.772615,START
2025-07-24 00:55:46.866513,STOP
2025-07-24 00:55:50.898034,START
2025-07-24 00:56:44.849525,STOP
2025-07-24 00:56:54.861171,START
2025-07-24 00:57:47.726626,STOP
2025-07-24 00:57:51.567893,START
2025-07-24 00:58:45.375041,STOP
2025-07-24 00:58:49.391901,START
2025-07-24 00:59:43.199752,STOP
2025-07-24 00:59:47.225485,START
2025-07-24 01:00:41.311931,STOP
2025-07-24 01:00:51.332675,START
2025-07-24 01:01:43.871957,STOP
2025-07-24 01:01:47.947388,START
2025-07-24 01:02:41.848338,STOP
2025-07-24 01:02:45.866723,START
2025-07-24 01:03:39.874592,STOP
2025-07-24 01:03:43.903936,START
2025-07-24 01:04:37.772910,STOP
2025-07-24 01:04:47.790395,START
2025-07-24 01:05:40.580931,STOP
2025-07-24 01:05:44.602289,START
2025-07-24 01:06:38.378716,STOP
2025-07-24 01:06:42.409518,START
2025-07-24 01:07:36.728001,STOP
2025-07-24 01:07:46.748697,START
2025-07-24 01:08:47.991436,STOP
2025-07-24 01:08:52.022184,START
2025-07-24 01:09:45.969605,STOP
2025-07-24 01:09:49.998058,START
2025-07-24 01:10:44.035293,STOP
2025-07-24 01:10:46.347317,START
2025-07-24 01:11:42.877811,STOP
2025-07-24 01:11:46.901073,START
